model,accuracy,precision,recall,f1,version
Autoencoder MLP,0.9415048001786113,1.0,0.665389527458493,0.799079754601227,baseline
Autoencoder MLP + Optuna (thr=7752.808736),0.9415048001786113,1.0,0.665389527458493,0.799079754601227,optuna
"Optuna Weighted Ensemble (w=0.019, thr=0.981705)",0.9044429560169681,0.8607723577235772,0.5408684546615581,0.6643137254901961,optuna
Ensemble OR,0.7143335565974548,0.35554262438172823,0.7803320561941252,0.4885068958624825,baseline
Isolation Forest + Optuna (thr=0.508038),0.19111408796606386,0.17528012805854104,0.9789272030651341,0.2973235065942591,optuna
Isolation Forest,0.6379772270596116,0.1954231747184889,0.34355044699872284,0.24913174345913405,baseline
